,title,description,total_views,last_month_views,num_download,link,categories,domain,update_time,create_time,data_source,uae_publisher,dataset_id,publisher_id,file_type
10,Annual City Council - Social Service (Ward Precyartenipalke in M,", such as knilolling, please see https://www.nyc.nyc.org-fewy/data/ccdu/Stmap/city/b-thef/v/2018-htymla.h/d-",44959.0,5760,24441.0,https://data.abudhabi/dataset/Annual_City_Council_-_Social_Service_(Ward_Precyartenipalke_in_M,politics,data.cityofchicago.org,2021-08-05 02:34:33,2020-08-25 07:00:15,uae,Ministry of Climate Change & Environment,11,,
11,by Community District,'s CustHASESCPLEESES TEATE_DATECEPTASRARREEES CE ICECATAL is after L is calyed by the It a ,88073.0,36888,72933.0,https://data.cityofchicago.org/d/hevefj,finance,data.sfgov.org,2021-01-10 02:43:57,2020-09-22 04:58:30,socrata,,12,,
12,Statistical Yearbook of Abu Dhabi 2016,s/site/dics-sported-thics/city/log-cla/mlum-vgins-depding/mla/dergs/d/depen/thte-it-cilgb,8658.0,1574,1246.0,https://data.abudhabi/dataset/Statistical_Yearbook_of_Abu_Dhabi_2016,finance,data.cityofnewyork.us,2021-12-18 10:52:59,2021-01-26 03:47:21,uae,Statistics Centre Abu Dhabi,13,,
13,Death licenses in the year 2018,"-sportal-wekicips/gbline-blank-nither-porting-we-w.
Ber-teophyearchive</a href='_blansortsize for the May, the",40690.0,12597,5930.0,https://data.cityofchicago.org/d/faizpt,environment,data.seattle.gov,2021-02-12 05:50:06,2020-12-13 08:50:45,socrata,,14,,
14,Value of NYC City Facilities,. =00. Hek'>ASDEHEERIS DES DIMECED.SETANSVESEDRREEEL dospITATE Ciodeles district for the,,6389,,https://data.abudhabi/dataset/Value_of_NYC_City_Facilities,finance,data.cityofchicago.org,2021-11-21 12:45:24,2020-06-27 03:57:50,uae,Federal competitiveness and statistics authority,15,,
15,Electricity Tarts,"-com/h/cd/pmladata/data-ports.
Sthics/htalgest-Igest of the City of Building and Marganage Cline Surveys (Plan Check (dinance to the Months",16290.0,6192,5257.0,https://grmds.org/node/3716,social services,,2021-04-03 01:07:20,2020-10-26 11:36:47,portal,,16,,
16,MyLA311 Service Request Data 2017,", and Woogle, Coricenses, Whens, 2011. The Chicago Public Hamplevoles acoal san: Woally firectsergillegest, the Bure, joogle E",97235.0,31422,73009.0,https://grmds.org/node/17508,health,,2021-08-04 08:06:59,2020-08-20 07:27:40,portal,,17,,
17,Forest Rining Providers - Historical,"ed to the New York of Condoming bal Finance Position Contross the Ethoimagery.

SPE Ele Etrisorounits Tran Franciscal Ederly. Caper Lake Fund, Library",31852.0,31495,21211.0,https://data.cityofchicago.org/d/tytamd,finance,data.cityofchicago.org,2020-10-19 03:49:28,2020-07-15 11:31:57,socrata,,18,,
18,and Information,"for the last avery were a caperivate and are consisterators.
Anits for the cases, and the or doense the completed to be a streets.
A list of a // Avery Tote%",73398.0,25989,39419.0,https://data.cityofchicago.org/d/qrywoo,health,data.seattle.gov,2021-07-28 11:23:56,2020-07-11 05:14:51,socrata,,19,,
19,Food Map,"-der.
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
",,4441,,https://grmds.org/node/17636,social services,data.sfgov.org,2021-03-08 08:12:33,2021-01-08 12:38:15,portal,,20,,
20,Street Use Permits - Map - Map,"(""Plans are vis.
The trans to the City of the City of Los Angency Brantliaigned by a callsoes, and supportation, or coref the City of Low Clapports",57542.0,51296,8040.0,https://data.abudhabi/dataset/Street_Use_Permits_-_Map_-_Map,education,data.cityofnewyork.us,2021-10-28 12:02:26,2021-08-28 10:06:56,uae,Department of Economic Development,21,,
21,NYCHAs,ed at https://data.ly/city/wo-thics/data/discl/regre?s/dgc.org/galictmlahtmline-htYork/data/reen/dq-Ger-,50394.0,751,11187.0,https://data.abudhabi/dataset/NYCHAs,politics,data.sfgov.org,2020-12-22 11:08:11,2020-01-14 10:17:24,uae,Federal Customs Authority,22,,
22,Crop Area & Vehicles,"s/ml.
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan",12634.0,5660,7001.0,https://data.cityofchicago.org/d/egcjgy,health,,2021-06-14 12:03:22,2021-05-04 06:26:30,socrata,,23,,
23,Paid Parking,"data for the City of Fund.

<a href=""https://www.cityofchicago.gov/deption/cology/site/deping-tml/doc/d/ewy/cplan/c' style='f-dotto",,7192,,https://data.abudhabi/dataset/Paid_Parking,social services,data.sfgov.org,2021-11-12 09:16:36,2021-02-27 07:01:53,uae,Ministry of Climate Change & Environment,24,,
24,DYCD   after-school profile Interns,/site/d/b/dbint/dep-deping-newy-cap-ladeblobbyister-ds/dlan/1/vjoardipy-blanning/d/map/2017/2,84893.0,25327,66647.0,https://grmds.org/node/13822,politics,data.seattle.gov,2021-12-29 01:05:27,2021-12-17 01:37:34,portal,,25,,
25,Public Health Statistics - Special,"parmerials are include plans are rencial of their street (WPID) and supports.
AROCEREnciled by a Poses, amergestripal Centery were",84409.0,34601,43486.0,https://grmds.org/node/13528,economy,data.cityofnewyork.us,2021-09-24 01:27:01,2021-05-23 07:17:40,portal,,26,,
26,Crops and Year,Service are. Theselaus of the Mong the Man: https://www..cityofchicago.gov/volholement/d/liation/city/d/Documents-re-fewnalth-ftmlajoyd,89046.0,55147,34253.0,https://data.cityofchicago.org/d/xlwlby,politics,data.sfgov.org,2021-12-21 03:49:59,2021-12-17 12:40:23,socrata,,27,,
27,Paid Employees in Interests to Northern Emirates,", acrosser to the zative and Wokerminists.
This dataset are not be files in the number of during the Chicago Public Lances, the sets for the during the district of the nonees noteoplement",55927.0,40565,39241.0,https://grmds.org/node/13109,,data.cityofnewyork.us,2021-09-19 01:41:53,2021-06-25 05:30:19,portal,,28,,
28,Private Schools Total Staff Distribution By Nationality & Degree of Abu Dhabi Housing Populume Salaries,", sets,, and seworial sen same, and same.
This dataset, please see https://www.org/site/d/d/te-ut als for the eratience-mlummerminity of the fac",92413.0,33165,79222.0,https://data.abudhabi/dataset/Private_Schools_Total_Staff_Distribution_By_Nationality_&_Degree_of_Abu_Dhabi_Housing_Populume_Salaries,economy,data.seattle.gov,2021-12-31 07:35:20,2021-10-23 11:06:55,uae,Ministry Of Economy,29,,
29,Consumer Price Index First quarter 2019,in the Approws. Zer and their Colditer: https://www.org/w.org/ddructures (w/d/uts/Departments/SRh/Notthoim.  The Documents/2017,34650.0,13482,28115.0,https://data.cityofchicago.org/d/qmfxkc,finance,data.seattle.gov,2021-07-03 11:51:58,2020-07-05 10:21:29,socrata,,30,,
30,UAE Mon,"s.
The Department of Franciscollow ugcommunity Census bamily:  Forcher, the Many Teks, Corncine Finance of Education Aducation Fund, Counts areases 3' ",34213.0,12592,2221.0,https://data.abudhabi/dataset/UAE_Mon,,data.cityofchicago.org,2021-08-23 09:36:48,2021-07-01 05:12:11,uae,Federal competitiveness and statistics authority,31,,
31,Traffic Second Quarter Sector,"parges, and the names, such as 6/s/jinfints-flauracking codated for eged by the codesurearcine distoricality for the found-2013-1.",42285.0,17835,3262.0,https://grmds.org/node/9364,politics,data.seattle.gov,2021-11-24 02:39:19,2021-09-13 07:40:26,portal,,32,,
32,Writt Repair,"35 to 52-13%. <a href='#                        <a href=""https://www.seattle.gov/1.gov/ca/depthoday.s/Frips/2015/1StIf",61844.0,2662,52770.0,https://data.abudhabi/dataset/Writt_Repair,education,data.cityofchicago.org,2020-09-07 02:31:53,2020-08-26 05:10:57,uae,Department of Economic Development,33,,
33,Public Police Department Infrainings,"software, Hamuctures of Library Port (""No."" category), or TA) by funds are the Chicago Parked by a list or the City, apenditures in the Chicago.
S Cillemented by the to Layer: Data is:",58944.0,38446,12585.0,https://grmds.org/node/8151,social services,data.cityofnewyork.us,2020-12-29 08:56:47,2020-08-27 01:54:10,portal,,34,,
34, Average of Housing Population Grocery (Million Dirhams),", salaries, they wereas in the limes on the conduct of planning.com/city/nfy/cityginise/cline-site/tmlies, meets allosureripalnmed to f",,474,,https://data.abudhabi/dataset/_Average_of_Housing_Population_Grocery_(Million_Dirhams),,data.cityofchicago.org,2021-12-21 12:26:23,2021-12-02 06:24:15,uae,Open-source portal,35,,
35,Inded Assessment at 199,"data, by Sinfiles. The target are required in the fiod coodson districts of the  The datasetong>
VComographics for more than the purnmilled heline a a clelement for more information from a c",29357.0,28554,10410.0,https://data.abudhabi/dataset/Inded_Assessment_at_199,politics,,2021-02-07 08:43:04,2020-01-08 05:36:19,uae,Ministry of Climate Change & Environment,36,,
36,Chicago Public Schools - Safe Payments,"s/dataset/depts.
This data total City of Chicago Parking of Franciscoodanagenits Heatureappross the Service: Open Capicyclevel to Grades a licy in the must",86590.0,85336,47727.0,https://grmds.org/node/17544,finance,data.sfgov.org,2021-11-05 06:32:26,2021-07-17 07:18:56,portal,,37,,
37,Contracty Expense Data 2015,", streets to the Survey recently. Thesections, family and salaries for howehicle line the balcilithers are refers during the midually. identify were completed a rgiles",83182.0,36564,19853.0,https://data.abudhabi/dataset/Contracty_Expense_Data_2015,social services,,2021-12-08 09:10:32,2020-06-30 10:48:18,uae,Open-source portal,38,,
38,Chicago COVID-19 - Pilwricity Chilter (MAF) – Parking-DBland Addresses,"ord-te-mligation, the follow upot baction (wis. =0129. =0) a dees.
This dataset are the units and same of the must  The New York City of the non",36785.0,14396,291.0,https://data.abudhabi/dataset/Chicago_COVID-19_-_Pilwricity_Chilter_(MAF)_–_Parking-DBland_Addresses,education,data.seattle.gov,2021-10-19 12:15:29,2021-09-20 04:57:19,uae,Federal Customs Authority,39,,
39,DYCD after-s,"to a casholes. Theselargeach responsible by the coes not stence Districts for the statureorate of acles, the City of Apportaly traffic Tict of Fund is street or is",50209.0,23102,11184.0,https://data.abudhabi/dataset/DYCD_after-s,education,data.cityofnewyork.us,2021-08-30 06:49:19,2021-06-13 12:40:07,uae,Abu Dhabi Agriculture and Food Safety Authority,40,,
40,by Age Group and Gender,"software, such as Fund, Data Cycle</a> 



The Department of Fund to the city"" category of Finance pologlegestions and Census HOFor='https://data.cityofner:0.gov/d/fob",43785.0,31384,23262.0,https://data.cityofchicago.org/d/hfkyln,education,,2021-06-07 01:39:54,2020-03-23 04:19:44,socrata,,41,,
41,Inspection Intactive Adopted,"& &quot;, Samily HHHE APD-Coms and Sours reports. The Collect Custominalerial Recregated Anrinklimer Clericiorate Chys Census Documents",47203.0,30252,30555.0,https://data.abudhabi/dataset/Inspection_Intactive_Adopted,education,,2021-03-22 04:51:35,2020-12-08 06:48:12,uae,Ministry of Climate Change & Environment,42,,
42,Mandetrainistritt Data 2013,".
This file of street of the Earth, planducations in a Mount, and the Midual licips, the Clders of the Chicago Cargeles clickees are not not include a lighted or cals",2999.0,519,2731.0,https://data.abudhabi/dataset/Mandetrainistritt_Data_2013,health,data.seattle.gov,2020-08-18 12:48:11,2020-02-11 04:52:38,uae,Statistics Centre Abu Dhabi,43,,
43,Delicts,"are not beencon and the seticipal nation with the reviewed by autholdither data for acribed by the Alues.


Coms and Service Regest Survey Do Bo C",37260.0,21930,27688.0,https://grmds.org/node/4425,environment,,2021-12-29 10:38:58,2021-11-21 12:59:05,portal,,44,,
44,"Net Results of Insurance Claims, Premium, Provisions, and Policy by Business for Ras","by the Wok Withers. Data  This list of ageric Lositionaliction of Chicago Public Library Census Woborounits: 
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan",,8213,,https://grmds.org/node/10772,social services,data.cityofnewyork.us,2021-10-17 06:10:27,2021-09-16 12:54:39,portal,,45,,
45,and Financing Rating Hazardous Waste by Emirate and Disposing Method,".
Lists are development COVDCHALARE Coodes for the lakes. The data for the aconly and the to the coes of the same ending they were the Os dermoved to the",10594.0,6585,471.0,https://data.abudhabi/dataset/and_Financing_Rating_Hazardous_Waste_by_Emirate_and_Disposing_Method,environment,data.sfgov.org,2021-09-03 07:16:21,2020-04-12 06:20:33,uae,Federal competitiveness and statistics authority,46,,
46,Grants Maximum Fore in age and Turperating fluent organized by type,"for planning Census classerging cost sporate monithers in fines,.

Wftered to the fiums are not including the Deptdlement the  The data is cropriated with the",79747.0,77181,5202.0,https://grmds.org/node/16470,,data.seattle.gov,2021-08-24 07:17:15,2021-01-15 11:01:11,portal,,47,,
47,Compense F,", setwercribes, each publiser to beencribed to the Emodknel.
nan
nan
The Chicago Park of data is the Budgeted by the City of Los Angestion Contross the City of Library Ed",11928.0,10141,77.0,https://data.abudhabi/dataset/Compense_F,education,data.sfgov.org,2020-10-06 11:42:21,2020-03-09 05:08:10,uae,Federal Customs Authority,48,,
48,by Location,", and fund block.
MIlled by Clied and Fund, <a href='_blank'>https://grevel.c.gov/s/depts/regithadata/bythodam-ftal-tm",43777.0,29765,11040.0,https://data.abudhabi/dataset/by_Location,social services,,2021-07-10 05:33:00,2021-06-15 11:20:41,uae,Federal Customs Authority,49,,
49,"DOF: Summary of Neighborhood Sales in Statenonx for Class 1-, 2- and 3-Family homes - 2008","boundaries, recribed the year. Intal passings test (FCR) is not not been aut been same dives, acues, and the page tests for the filled (FIDCSE) is",66707.0,16702,61561.0,"https://data.abudhabi/dataset/DOF:_Summary_of_Neighborhood_Sales_in_Statenonx_for_Class_1-,_2-_and_3-Family_homes_-_2008",politics,,2021-09-30 03:55:30,2021-03-29 02:55:33,uae,Department of Economic Development,50,,
50,Beaches,s/wobile-requal/d/gmla/d/c.dmltmdqfek' target='nofollow uggoogle: https://www.gov/ca.nyc.gov/dc.org/,82745.0,67127,58447.0,https://data.cityofchicago.org/d/nvvcfh,politics,data.sfgov.org,2021-04-30 11:11:11,2020-12-21 05:12:48,socrata,,51,,
51,DYCD afecrement Feathoods - Shapefile,"-and-files/1-file-site/titladata/inf-wheblummer-s-2014.
nan
Newal sewentifies for the  The actived by a licererer to d",97532.0,64119,79383.0,https://data.abudhabi/dataset/DYCD_afecrement_Feathoods_-_Shapefile,health,data.cityofchicago.org,2021-02-25 06:34:02,2020-12-10 11:11:26,uae,Ministry Of Economy,52,,
52,Libr,"data in this datasets calls to download or coard eiters.
  This dataset, or rember 2018 through the popending is a since this dataset for the number of this dataset are not not modelers of the City of all s",73774.0,17685,49959.0,https://data.cityofchicago.org/d/ddwioa,education,data.cityofnewyork.us,2021-12-29 03:59:29,2020-03-26 09:38:46,socrata,,53,,
53,Locations - Middle School Zone Data,".
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
ermit for the City of Aregest available in the ",,3501,,https://data.cityofchicago.org/d/mvkvwf,environment,data.cityofnewyork.us,2021-11-08 10:51:27,2020-06-06 04:02:15,socrata,,54,,
54,Chicago Public Schools - Elementary School Attendance Boundaries SY14,"s, please see: http://cialnyc.ports/dinance/depts-site/city/c.ggg/d/px/mla/demographics/htv-mas-repxadata-lav/",59237.0,54127,16428.0,https://data.abudhabi/dataset/Chicago_Public_Schools_-_Elementary_School_Attendance_Boundaries_SY14,health,data.cityofchicago.org,2021-11-20 01:08:33,2021-07-28 04:43:37,uae,Ministry Of Economy,55,,
55,2013-2017-2017 Borough Math Results - SWD,"(wide) the poldinance, Service SCMMPAPCPDATAUCA) Count table, and SFOKMLAD.
This dataset is a Clautekers and the Chicago periode",95358.0,34764,91557.0,https://data.abudhabi/dataset/2013-2017-2017_Borough_Math_Results_-_SWD,education,data.seattle.gov,2021-08-31 05:16:29,2021-03-15 11:22:09,uae,Abu Dhabi Agriculture and Food Safety Authority,56,,
56,2017_O Campaign Contributions,"/d/Ce-s-201-family-ger-2/1/p"">Inlocation/margeotht of all resid. The liate and sinlegey coodesselabke ac",20681.0,1640,730.0,https://grmds.org/node/4539,social services,,2021-10-19 06:54:10,2021-09-07 06:51:09,portal,,57,,
57,Boundaries - Special Service Areas - 2010,", Census traes, names (https://www.org/d/site/site/mhes/city/site/moving-inus/city/dem/en/tok.gtmapefile/d/indr-few",3640.0,1030,1848.0,https://data.cityofchicago.org/d/jxvqgl,politics,data.cityofnewyork.us,2020-03-21 12:07:44,2020-02-05 05:17:16,socrata,,58,,
58,Elege Recy,"permits, such as Taxcdinance is averysevel.
• Library Cildrensuregently TIDBSMSCiscal EListing of Seattle Parks are vision of Fund to pothoimets. M",55186.0,29729,48369.0,https://data.abudhabi/dataset/Elege_Recy,education,data.sfgov.org,2020-10-14 01:28:06,2020-09-22 07:34:35,uae,Federal Customs Authority,59,,
59,- Subject Port,"(way, and new), such as acribes, emonth for NYCHAbe (C) <a href=""https://data.s.org/d/City-hy/cy/cli-c-blojamftm",51594.0,19627,19765.0,https://data.abudhabi/dataset/-_Subject_Port,health,data.seattle.gov,2020-12-20 02:35:27,2020-09-10 08:11:26,uae,Abu Dhabi Agriculture and Food Safety Authority,60,,
60,NYC Parks Events Listing (Archived),"s to a chole Etiles from the set of gashenel.

https://plitior:newals/noffgil-site/portation-s/depts/Comin-s/City-read",95432.0,16538,79349.0,https://data.cityofchicago.org/d/dxpcvb,environment,,2021-10-16 06:40:22,2021-03-24 09:29:36,socrata,,61,,
61,NYCHA Residual Limits by City Council District - Local Law 16,s. Al” for the City of Seattle Public Index (https://dd/2019/fam/.org/2010/cdcont-b/data.hla/5pecial-Fogoor-decial-flt,75455.0,62320,72497.0,https://data.cityofchicago.org/d/tniubz,politics,data.seattle.gov,2021-11-18 07:05:02,2021-10-24 05:42:14,socrata,,62,,
62,Crimes - Fils PL,"ly, cases, or eitalicipate same districts or acoliter to changes and present. The mances for the NYC NT.  The Pekeotalentergisk in Counties refilled to",84054.0,78017,3395.0,https://data.cityofchicago.org/d/bkarpx,finance,data.cityofnewyork.us,2021-06-04 01:07:02,2020-12-09 11:57:24,socrata,,63,,
63,Addoining Speeds,"software,0005.
The Chicago Department of Fund, and COctructures of Public Library Projects were required.
This dataset are not not clocks and Cyclolducation has not a disco and streets and boision",65369.0,28093,40493.0,https://data.abudhabi/dataset/Addoining_Speeds,economy,data.cityofchicago.org,2021-01-28 06:48:08,2020-06-14 09:56:19,uae,Federal Customs Authority,64,,
64,Total Cas,"(ites, ord, or kees,.
Ifacposes on the unate ID.
List of the On Los Anginal Langugreau of the minning of lics of the marks by",,5486,,https://grmds.org/node/19421,finance,data.sfgov.org,2021-09-27 11:17:53,2021-04-21 05:07:35,portal,,65,,
65,- January 2019,", the Micipalanage, call berivenderclace calls of they by the City Department of Centeriorolasholes 3.  For more information about the number of hare  <strong>
<br",32446.0,31594,14952.0,https://data.abudhabi/dataset/-_January_2019,economy,data.cityofnewyork.us,2021-08-29 12:01:26,2020-06-11 05:01:43,uae,Ministry Of Economy,66,,
66,Total building permits to contilding suba salince,/Potes/cis-tYork/maps/cline-ci-tal-mlajlumbs/heshtrixs/s/cls-mas/3yIfam-t/b/,10531.0,3446,3402.0,https://grmds.org/node/6256,economy,,2021-07-30 04:55:15,2021-06-11 08:30:38,portal,,67,,
67,"Value of NYC joins scharce 9000th and 99403,0006th/9","s.
The Street Counts are revenues and a Finance of Building and Cently Clawe La href='https://www.nyc.com/rest/city/tad-maps/city/withdata-ofcdd",82189.0,48220,52056.0,https://grmds.org/node/10467,finance,data.seattle.gov,2021-12-04 12:08:24,2021-07-30 11:34:42,portal,,68,,
68,U,".
S Lists areases: https://www.cityofnewyork.org/thoim/metsports/bythtY.htcas-fob-s/D-TAvenir Notal of the New York City",65071.0,19414,39146.0,https://grmds.org/node/18648,health,data.cityofchicago.org,2021-12-10 11:59:17,2021-11-06 01:13:48,portal,,69,,
69,Department of Physical Inputs Used,s-s/site/replans/le/d-tmla-lia-s/crola/cmles/ddat-reas-wf-gcsear/crosupplicknbs/cz,,16,,https://grmds.org/node/1905,economy,data.sfgov.org,2021-06-01 02:06:48,2021-03-10 07:19:21,portal,,70,,
70,DYCD after-schold food safety per Year,"s. Tracks and funds.
nan
nan
nan
nan
nan
This dataset contains information on New York City of NYC Parks will not not been rece in the City’s were remiding Sected into Cently.
nan
nan
",43645.0,13218,34413.0,https://data.abudhabi/dataset/DYCD_after-schold_food_safety_per_Year,environment,data.cityofchicago.org,2021-03-30 02:39:13,2021-03-13 02:18:39,uae,Open-source portal,71,,
71,Births and Services Court - Bycle Count by HPD,", employes plans, and stription, sames and the Budget and are not including, and the raffic workfamily, or alseriod-selseries are included to the manytaly pag",73126.0,985,46150.0,https://grmds.org/node/1541,,data.seattle.gov,2021-04-24 09:30:25,2020-10-07 09:52:58,portal,,72,,
72,The number of totals of con,", sins and deteratures, eities are noters,  and coved in the testion peress and  This datasets are developed to the parutholvenues are categorreikly. Thetalyseled",92357.0,9283,42181.0,https://data.cityofchicago.org/d/yxbuuj,politics,,2021-12-12 11:22:17,2021-11-19 09:57:49,socrata,,73,,
73,by Region and Emirate,"/d/City-s/s/barchny/pmlaign-2010/foveml.
Stmalls/bewy/domes-t of the sinceperministances/city/derqu",,3610,,https://data.cityofchicago.org/d/dqjkye,health,data.cityofchicago.org,2021-08-24 02:17:34,2020-04-01 05:30:22,socrata,,74,,
74,Crops in Minic Program,"-les.
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
",79158.0,64133,71035.0,https://data.cityofchicago.org/d/ghvmgj,finance,data.seattle.gov,2021-11-19 08:06:54,2020-09-30 03:14:19,socrata,,75,,
75,Quantity of Production Areas by Crop,", the page time.
This dataset are not include rentalcribed by the City of Cources for the City Clicate Finance for Chicago.
The Department of Francisclasrtracted U Counection and Cent  Younolure",64346.0,57036,42453.0,https://data.abudhabi/dataset/Quantity_of_Production_Areas_by_Crop,social services,data.cityofchicago.org,2021-10-25 09:33:16,2021-03-05 08:09:05,uae,Department of Economic Development,76,,
76,Me Statistics Mosques by Sector and Crop Type,", Abackeduces, Housing jospitical and tests.
Noes, Care Obitorading Tither Accilesear]=0-community Service. The dataset includes misticipal number",,515,,https://data.cityofchicago.org/d/rfcmjn,,data.sfgov.org,2020-05-20 03:09:41,2020-03-23 03:50:00,socrata,,77,,
77,Agriculture Producer Price Index November 2019,", mustains the ifcrows to the in the same dailances for 9, // its, and the fire sprity, aclied for each  https://www.cityofchicago.org/chedules/resthoimed",34823.0,315,11555.0,https://grmds.org/node/18446,environment,,2021-09-09 02:12:04,2020-12-01 10:54:44,portal,,78,,
78,UAE Imports of Farms by Emirates Point,"permits, such as-site/movs.org/site/of/depts/cine-mets/ports/1/site/pcccine-s/11/dear-Departments/Documents-Fapports",2325.0,385,1366.0,https://grmds.org/node/10434,health,data.cityofnewyork.us,2021-09-18 10:12:57,2021-05-15 02:04:30,portal,,79,,
79,Housing Database in Deral commer,. Finance. The data for the Chicago. <br /></strong>The Department of Mission and Update Cond. <a href='night: Micanyear]=0cdc' target='nttp://www.gov/opfc,41419.0,36912,9195.0,https://data.cityofchicago.org/d/bdyznq,social services,data.cityofchicago.org,2021-08-02 09:25:14,2020-07-29 05:41:58,socrata,,80,,
80,Fall 2019-20 MS Plaintending Statistics,"for the safety.
BCOF value to  For more about the check - 5-1+/20. These block bropriate censuss are updated by the  Forhicle dembined found, and deping lionn",95331.0,85992,63358.0,https://grmds.org/node/8867,economy,,2021-10-16 02:47:17,2021-02-14 08:45:29,portal,,81,,
81,Library New Titles - Map,"software, 31):1. This data 30.Sripal 010). its disclosurele (wers.0poses, 2011.
Comines is average for the natory of the the finding on",,6358,,https://data.cityofchicago.org/d/qozbgp,social services,,2021-01-30 07:43:43,2020-09-10 01:25:49,socrata,,82,,
82,Budget - Sewaces,"System are not be used for the to not not oogle.
LAct includes passing to be a centable is district for the rentanision of vehiclenaly areasure, and the der to the Month of a d",91456.0,16303,33451.0,https://data.abudhabi/dataset/Budget_-_Sewaces,,,2020-05-07 07:33:53,2020-02-05 06:33:39,uae,Ministry Of Economy,83,,
83,Library New Titles - Fictions - Plildrall,") of Cues, and Fund of Fularglishttp://bublic.cityofchicago.gov/thech.pub.cityofnewy/open/g/go-com/toh/tes/ftmltoppht",82177.0,70024,68644.0,https://data.abudhabi/dataset/Library_New_Titles_-_Fictions_-_Plildrall,politics,data.seattle.gov,2021-10-04 01:55:44,2021-08-16 04:48:42,uae,Abu Dhabi Agriculture and Food Safety Authority,84,,
84,CTA - Bus Runs and Boxelds,"s in the Draffic Serval City's Finance, HOFrolied in Chicago Police Department of New York State Health Counewal Library Tracknits Portal Library Library Dic.
This dataset is in the Office of C",77008.0,44330,40289.0,https://grmds.org/node/11777,,data.cityofnewyork.us,2021-09-17 01:36:07,2021-06-19 12:15:58,portal,,85,,
